요리명,탄수화물(g/100g),단백질(g/100g),지방(g/100g),당류(g/100g),식이섬유(g/100g),포화지방산(g/100g),코멘트
볶음밥,28.1,8.5,8.2,,,,"""볶음밥,""정제된 흰 쌀의 당지수가 높고, 볶음 과정에서 첨가되는 기름으로 인해 포화지방 함량이 증가합니다. 다양한 채소와 계란, 고기를 포함하면 영양밸런스는 개선되지만, 간장과 설탕을 사용한 양념으로 나트륨과 당분이 높습니다. 다이어트 중이라면 현미로 대체하고 오일 사용을 최소화하세요. 근비대를 위해서는 단백질(닭가슴살, 계란, 새우 등) 함량을 높이는 것이 좋습니다."""
오므라이스,30.2,9.8,7.4,,,,"""오므라이스,""계란에서 오는 양질의 단백질이 있지만, 흰쌀밥과 케첩으로 인한 당분 함량이 높습니다. 케첩에는 첨가당이 많이 포함되어 있어 혈당 관리에 주의가 필요합니다. 계란 노른자와 버터를 사용한 조리법으로 콜레스테롤과 포화지방 함량도 높을 수 있습니다. 다이어트 시에는 현미로 대체하고 케첩양을 줄이세요. 근비대를 위해서는 닭가슴살이나 참치 등을 추가해 단백질 함량을 높이는 것이 좋습니다."""
카레라이스,28.5,8.1,6,,,,"""카레라이스,""카레 소스에는 첨가당이 포함되어 있고, 흰쌀밥의 당지수가 높아 혈당 관리에 주의가 필요합니다. 코코넛 밀크나 버터를 사용한 카레는 포화지방 함량이 높을 수 있습니다. 다양한 채소가 포함되어 비타민과 미네랄은 풍부하지만, 단백질 함량은 상대적으로 낮습니다. 다이어트 중이라면 현미와 저지방 우유로 만든 카레를 선택하세요. 근비대를 위해서는 닭가슴살, 소고기 등 단백질 함량을 높이는 것이 좋습니다."""
햄버거,26.1,11.5,10.2,,,,"""햄버거,""정제된 밀가루 번과 패티의 포화지방, 첨가당이 들어간 소스로 인해 건강에 불리합니다. 패티는 고지방 부위와 가공육을 사용하므로 포화지방과 나트륨 함량이 매우 높습니다. 특히 치즈, 베이컨을 추가하면 지방과 나트륨이 더욱 증가합니다. 다이어트 중이라면 번을 통밀로 바꾸고 채소를 충분히 넣으세요. 근비대에는 단백질 함량은 좋지만, 소화에 부담을 주는 포화지방과 첨가물을 주의하세요."""
치즈버거,28,12.4,15,,,,"""치즈버거,""햄버거에 치즈가 추가되어 포화지방과 나트륨 함량이 더 높습니다. 치즈는 양질의 단백질과 칼슘을 제공하지만, 가공치즈의 경우 트랜스지방과 첨가물이 많이 포함되어 있습니다. 정제된 밀가루 번과 각종 소스의 첨가당으로 인해 당지수가 높고, 체지방 축적을 촉진할 수 있습니다. 다이어트 중이라면 치즈를 저지방 치즈로 바꾸거나 생략하고, 근비대 시에는 양질의 자연 치즈와 단백질이 풍부한 패티를 선택하세요."""
불고기버거,30.1,13.2,14.8,,,,"""불고기버거,""한국식 양념의 단맛으로 인해 일반 햄버거보다 당분 함량이 더 높을 수 있습니다. 불고기 소스에는 설탕, 물엿 등이 포함되어 있어 혈당 관리에 불리합니다. 패티의 지방 함량도 높아 포화지방 섭취가 증가하며, 나트륨 함량도 매우 높습니다. 다이어트 시에는 소스양을 줄이고 통밀 번으로 대체하세요. 근비대에는 단백질 함량이 괜찮지만, 소화에 부담을 주는 첨가물과 지방을 주의하는 것이 좋습니다."""
샌드위치,27.5,9,8.1,,,,"""샌드위치,""재료에 따라 영양가가 크게 달라집니다. 흰 밀가루 빵은 당지수가 높으니 통밀빵으로 대체하세요. 마요네즈나 드레싱은 포화지방과 트랜스지방이 많이 포함되어 있어 적게 사용하는 것이 좋습니다. 채소를 풍부하게 넣고 단백질(닭가슴살, 참치, 삶은 계란 등)을 추가하면 영양 균형을 맞출 수 있습니다. 가공육(햄, 베이컨)은 나트륨과 발색제가 많으니 신선한 고기로 대체하는 것이 좋습니다."""
토스트,28.8,8,6.5,,,,"""토스트,""흰 밀가루 빵은 당지수가 높아 혈당을 급격히 올립니다. 버터를 많이 사용하면 포화지방 함량이 증가하며, 잼이나 꿀을 바르면 첨가당 섭취가 늘어납니다. 단백질 함량이 낮아 근비대에 효과적이지 않습니다. 다이어트 중이라면 통밀빵으로 바꾸고 버터 대신 아보카도를 발라 건강한 지방을 섭취하세요. 삶은 계란이나 그릭 요거트를 곁들이면 단백질 함량을 높일 수 있습니다."""
핫도그,26.2,9.2,10.4,,,,"""핫도그,""가공육인 소시지는 나트륨, 아질산나트륨 등 보존제가 풍부하고 포화지방 함량이 높습니다. 흰 밀가루 빵과 케첩, 머스타드의 첨가당으로 인해 당분 함량도 높습니다. 간편식이지만 영양적으로는 불균형하여 다이어트와 근비대 모두에 효율적이지 않습니다. 불가피하게 섭취할 경우, 통밀빵으로 대체하고 채소를 충분히 추가하며, 저지방 소시지를 선택하세요."""
피자,29.4,12,11.2,,,,"""피자,""치즈의 포화지방과 정제된 밀가루 도우, 소스의 첨가당으로 인해 다이어트에 불리합니다. 페퍼로니, 소시지 등 가공육 토핑은 나트륨과 포화지방을 더 증가시킵니다. 다이어트 중이라면 치즈양을 줄이고 통밀 도우를 선택하며, 채소 토핑을 늘리세요. 근비대를 위해서는 닭가슴살, 참치 등 단백질 토핑을 추가하는 것이 좋습니다. 흡수 속도가 빠른 정제 탄수화물과 지방의 조합은 체지방 축적을 촉진할 수 있습니다."""
치킨,8.2,22.5,9.8,,,,"""치킨,""부위와 조리법에 따라 지방 함량이 크게 달라집니다. 껍질에는 포화지방이 집중되어 있으니 제거하는 것이 좋습니다. 프라이드 치킨은 트랜스지방과 포화지방이 많으므로, 구운 닭가슴살이나 닭다리살을 선택하세요. 양념치킨의 경우 소스에 첨가당이 많으니 다이어트 중이라면 주의가 필요합니다. 단백질 함량이 높아 근비대에 좋지만, 조리법을 건강하게 선택하는 것이 중요합니다."""
양념치킨,15.4,21,11,,,,"""양념치킨,""튀김옷과 양념소스에 첨가당이 많이 포함되어 있어 당분 함량이 높습니다. 프라이드 치킨에 비해 소스의 당분으로 인해 혈당 관리에 더 불리할 수 있습니다. 튀김유의 트랜스지방과 포화지방도 체지방 축적을 촉진합니다. 다이어트 중이라면 껍질을 제거하고 소스는 적게 찍어 먹으세요. 근비대에는 단백질이 풍부하지만, 소화에 부담을 주는 기름과 첨가물을 주의하는 것이 좋습니다."""
순살치킨,7.1,24,10.8,,,,"""순살치킨,""껍질과 뼈를 제거하여 일반 치킨보다 지방 함량이 낮고 단백질 비율이 높습니다. 그러나 여전히 튀김옷과 기름으로 인한 불필요한 탄수화물과 트랜스지방이 포함되어 있습니다. 다이어트 중이라면 에어프라이어나 오븐에서 구운 순살치킨을 선택하세요. 근비대에는 효율적인 단백질 공급원이지만, 소화에 부담을 줄 수 있는 튀김옷과 기름을 최소화하는 것이 좋습니다."""
삼겹살,0.8,17.5,29.3,,,,"""삼겹살은 단백질(19g/100g)은 양호하나 지방 함량(41g/100g)이 매우 높고, 그중 약 40%가 심혈관 질환 위험을 높이는 포화지방입니다. 콜레스테롤 함량(85mg/100g)도 높아 과다 섭취 시 혈중 지질 수치 상승을 유발할 수 있습니다. 다이어트 중이라면 삼겹살보다 지방 함량이 낮은 돼지 앞다리살이나 목살로 대체하고, 양을 줄이되 쌈채소 비중을 높여 식이섬유 섭취를 늘리세요. 기름을 뺀 후 섭취하고, 소금이나 기름진 소스 사용을 최소화하는 것이 좋습니다. 케토 다이어트 중이라면 적합할 수 있으나, 일반 다이어트에서는 주 1회 이내로 제한하는 것이 바람직합니다."""
수육,0.5,18,23.2,,,,"""수육은 높은 단백질을 제공하지만 돼지고기의 부위에 따라 포화지방 함량이 15-30%로 상당히 높습니다. 삶는 조리법으로 튀김보다 칼로리는 낮지만, 여전히 100g당 250-300kcal 수준입니다. 다이어트 중이라면 삼겹살보다 앞다리살이나 뒷다리살 같은 지방 함량이 낮은 부위를 선택하고, 삶은 후 식힌 다음 기름을 완전히 제거하세요. 섭취 시 양배추, 상추 등 식이섬유가 풍부한 채소와 함께 먹고, 1회 섭취량을 100g 이내로 제한하는 것이 좋습니다. 고기의 껍질과 눈에 보이는 지방은 반드시 제거하여 칼로리를 30% 가량 줄일 수 있습니다."""
보쌈,3.2,16.7,24.1,,,,"""보쌈,""돼지고기의 포화지방 함량이 높아 과다 섭취 시 체지방 축적을 촉진할 수 있습니다. 하지만 쌈 채소와 함께 섭취하면 식이섬유 섭취가 증가하여 포만감을 높이고 소화를 돕습니다. 쌈장이나 양념에 첨가당이 포함되어 있으니 적정량만 사용하세요. 다이어트 중이라면 기름기를 제거하고 살코기 위주로 섭취하세요. 근비대에는 단백질이 풍부하지만, 지방 함량도 높으니 균형 있게 섭취하는 것이 좋습니다."""
소불고기,7.9,20.2,11.4,,,,"""소불고기,""양질의 단백질이 풍부하지만, 양념에 설탕과 과일 당분이 다량 포함되어 있습니다. 당분이 근육 회복에 도움이 되긴 하나, 다이어트 중이라면 당분이 적은 양념을 선택하세요. 지방 함량의 상당 부분이 포화지방으로, 심혈관 건강을 위해 기름기를 제거하고 섭취하는 것이 좋습니다. 근비대를 원한다면 단백질 섭취원으로 좋지만 당분 섭취에 주의하세요."""
돼지불백,8.4,18,10.2,,,,"""돼지불백,""돼지고기의 단백질은 근비대에 좋지만, 양념(설탕, 물엿)에 첨가당이 많아 혈당 관리에 주의가 필요합니다. 돼지고기는 소고기보다 포화지방 함량이 높은 편이라 과다 섭취 시 체지방 축적을 촉진할 수 있습니다. 다이어트 중이라면 기름기가 적은 부위(앞다리살, 뒷다리살)를 선택하고, 고추장 양념을 줄이세요. 근비대를 위해서는 단백질이 풍부한 살코기 위주로 섭취하는 것이 좋습니다."""
닭갈비,10.2,21.5,8.6,,,,"""닭갈비,""다른 육류에 비해 지방 함량이 적고 단백질이 풍부하여 다이어트와 근비대 모두에 좋은 선택입니다. 다만 양념(고추장, 고춧가루)에 첨가당이 포함되어 있어 혈당 관리에 주의가 필요합니다. 가능하면 껍질을 제거하여 포화지방 섭취를 줄이고, 양배추, 깻잎 등 채소를 함께 섭취하면 식이섬유 섭취를 늘릴 수 있습니다. 체지방 감량과 근육 성장을 동시에 원한다면 탁월한 선택입니다."""
탕수육,20.2,10,13.2,,,,"""탕수육,""튀김옷과 기름으로 인한 트랜스지방과 포화지방 함량이 높고, 소스에 첨가당이 많이 포함되어 있어 다이어트에 불리합니다. 혈당을 급격히 올리는 조합으로 인슐린 저항성을 악화시킬 수 있습니다. 단백질 함량은 보통이지만 지방과 당분으로 인해 근비대에도 효율적이지 않습니다. 불가피하게 섭취할 경우, 소스를 따로 담아 적게 찍어 먹고, 튀김옷을 최소화한 살코기 위주로 섭취하세요."""
깐풍기,12.8,14.2,14.5,,,,"""깐풍기,""탕수육과 유사하게 튀김으로 인한 트랜스지방과 포화지방이 많지만, 소스에 설탕이 적어 상대적으로 당분이 낮습니다. 마늘, 고추 등의 향신료가 대사를 촉진하는 장점이 있으나, 여전히 나트륨 함량이 높습니다. 다이어트 중이라면 튀김옷이 적은 살코기 위주로 섭취하고, 소스양을 조절하세요. 근비대를 위해서는 단백질 공급원으로 활용하되, 소화에 부담을 주는 기름기를 고려하세요."""
양장피,20.1,9.1,7.8,,,,"""양장피,""해파리와 다양한 채소가 포함되어 식이섬유가 풍부하고, 상대적으로 기름이 적어 다이어트에 유리합니다. 다만 소스에 설탕과 식초가 사용되어 당분과 나트륨 함량이 높을 수 있습니다. 단백질 함량이 낮은 편이라 근비대에는 효율적이지 않으니, 닭가슴살이나 소고기를 추가하여 단백질 함량을 높이는 것이 좋습니다. 소스는 따로 담아 적게 사용하세요."""
팔보채,11.5,12.7,9.6,,,,"""팔보채,""해산물과 다양한 채소를 사용하여 비타민, 미네랄이 풍부하고 포화지방이 낮은 편입니다. 그러나 기름에 볶는 조리법으로 인해 지방 함량이 증가하고, 소스의 전분과 설탕으로 인해 당분이 높을 수 있습니다. 다이어트 중이라면 기름양을 줄이고 해산물 위주로 섭취하세요. 근비대를 위해서는 단백질이 풍부한 새우, 오징어 등을 더 많이 넣어 균형을 맞추는 것이 좋습니다."""
짬짜면,28.2,8.1,10.3,,,,"""짬짜면,""짜장면과 짬뽕의 단점을 모두 가지고 있습니다. 정제된 밀가루 면과 짜장 소스의 첨가당, 튀김기름의 트랜스지방이 혈당과 체지방에 불리합니다. 짬뽕 국물의 나트륨도 높아 수분 저류를 유발할 수 있습니다. 다이어트 중이라면 면 양을 줄이고 해산물과 채소 위주로 섭취하세요. 근비대에는 단백질 함량이 낮아 효율적이지 않으니, 고기나 해산물을 추가하는 것이 좋습니다."""
해물짬뽕,25.5,10.5,6.5,,,,"""해물짬뽕,""일반 짬뽕보다 해산물 함량이 높아 양질의 단백질과 오메가-3 지방산이 풍부합니다. 다양한 해산물에서 오는 타우린, 셀레늄 등 미량영양소도 풍부하지만, 여전히 정제된 밀가루 면과 기름에 볶는 조리법으로 인한 단점이 있습니다. 다이어트 중이라면 국물 위의 기름을 걷어내고, 면보다 해산물 위주로 섭취하세요. 근비대에는 해산물의 단백질이 도움이 되지만, 면의 당지수가 높은 점을 고려하세요."""
사골곰탕,1.8,9.6,6.2,,,,"""사골곰탕,""장시간 끓인 소뼈 국물은 콜라겐과 미네랄이 풍부하지만, 지방이 국물에 녹아있어 포화지방 함량이 높을 수 있습니다. 당분은 매우 낮아 혈당 관리에는 유리합니다. 고기를 많이 넣지 않으면 단백질 함량이 낮을 수 있으니, 근비대를 위해서는 살코기를 충분히 추가하세요. 다이어트 중이라면 차게 식혀 표면의 지방을 제거한 후 데워 먹는 것이 좋습니다. 나트륨 함량이 높을 수 있으니 염분 섭취에 주의하세요."""
설렁탕,2,10.2,6.4,,,,"""설렁탕,""사골곰탕과 유사하게 콜라겐과 미네랄이 풍부하고 당분이 낮습니다. 소의 다양한 부위를 사용해 단백질 프로필이 다양하지만, 지방 함량이 높을 수 있습니다. 다이어트 중이라면 차게 식혀 지방을 걷어내고, 기름진 부위 대신 살코기 위주로 섭취하세요. 근비대에는 단백질 함량이 적절하지만, 추가 단백질 보충을 위해 소고기를 더 넣는 것이 좋습니다. 나트륨 함량이 높으니 소금 첨가를 최소화하세요."""
감자탕,8.4,17,11.3,,,,"""감자탕,""돼지 등뼈의 콜라겐이 풍부하고, 감자의 복합 탄수화물과 식이섬유가 포만감을 높입니다. 고춧가루로 인한 캡사이신이 대사를 촉진하는 장점이 있지만, 돼지고기의 포화지방 함량이 높을 수 있습니다. 다이어트 중이라면 지방을 걷어내고 살코기와 채소 위주로 섭취하세요. 근비대에는 단백질 함량이 적절하나, 고단백 보충을 위해 살코기를 더 넣는 것이 좋습니다. 나트륨에 주의하세요."""
추어탕,5,12.5,6.8,,,,"""추어탕,""미꾸라지의 불포화지방과 단백질이 풍부하고, 콩나물, 무 등 채소로 인한 식이섬유도 풍부합니다. 당분이 낮고 양질의 단백질로 인해 다이어트와 근비대 모두에 적합합니다. 고춧가루가 대사를 촉진하고, 미꾸라지의 비타민 D가 칼슘 흡수를 돕습니다. 다만 된장 등으로 인한 나트륨 함량이 높을 수 있으니 염분 섭취에 주의하세요. 근비대에는 단백질 함량을 높이기 위해 두부를 추가하는 것도 좋습니다."""
육개장,4.6,10.1,5.1,,,,"""육개장,""양질의 소고기 단백질과 채소가 풍부하게 들어있어 영양 균형이 좋습니다. 고춧가루의 캡사이신이 대사를 촉진하고, 당분이 낮아 혈당 관리에 유리합니다. 다만 기름진 부위를 사용하면 포화지방 함량이 높아질 수 있으니, 다이어트 중이라면 살코기 위주로 섭취하세요. 나트륨 함량이 높을 수 있어 수분 저류에 주의하고, 근비대를 위해서는 고기 양을 늘리는 것이 좋습니다."""
김밥,28.4,6.6,5.4,,,,"""김밥,""정제된 흰쌀밥과 단무지, 햄 등으로 인한 당분과 나트륨 함량이 높습니다. 다양한 재료를 사용하면 영양 균형은 좋아지지만, 마요네즈나 참기름으로 인한 지방도 고려해야 합니다. 다이어트 중이라면 현미로 대체하고 채소 비중을 높이며, 햄 대신 참치나 계란을 넣어 단백질 함량을 높이세요. 근비대를 위해서는 단백질 원료를 충분히 넣는 것이 좋습니다."""
참치김밥,28,7.4,6.2,,,,"""참치김밥,""일반 김밥보다 참치의 양질의 단백질이 풍부하지만, 참치 캔에 포함된 기름과 마요네즈로 인한 지방 함량이 높을 수 있습니다. 흰쌀밥과 단무지의 당분도 고려해야 합니다. 다이어트 중이라면 물에 담가 기름기를 제거한 참치를 사용하고, 마요네즈는 최소화하세요. 근비대에는 단백질 함량이 좋은 편이지만, 불필요한 지방을 줄이기 위한 노력이 필요합니다."""
낙지볶음,7.4,19.1,5.6,,,,"""낙지볶음

낙지는 저지방 고단백 식품으로 다이어트에 매우 적합합니다. 100g당 단백질이 약 15g이며 콜레스테롤이 낮습니다. 그러나 조리 시 첨가되는 고추장과 양념에 당분이 포함되어 있어 주의해야 합니다. 매운맛을 위한 고추가루는 대사를 촉진하는 효과가 있지만, 양념에 들어가는 설탕이나 물엿은 제한하세요. 채소를 풍성하게 넣고 기름양을 줄이면 더 건강한 한 끼가 됩니다. 탄수화물 섭취를 줄이려면 밥보다는 채소와 함께 드시는 것이 좋습니다."""
쭈꾸미볶음,7.7,18.2,6.2,,,,"""쭈꾸미볶음,""낙지볶음과 유사하게 저지방 고단백 식품으로, 다이어트와 근비대에 좋은 선택입니다. 쭈꾸미의 타우린은 지방 대사를 촉진하고, 다양한 아미노산이 근육 회복을 돕습니다. 그러나 고추장 양념의 첨가당에 주의하세요. 다이어트 중이라면 양념을 줄이고 채소 비중을 높이세요. 근비대를 위해서는 양질의 단백질 공급원으로 활용하되, 소화에 부담을 주지 않도록 적절한 양을 섭취하세요."""
김치볶음밥,30.2,6.5,7.1,,,,"""김치볶음밥,""발효식품인 김치는 프로바이오틱스가 풍부하지만, 흰쌀밥의 당지수가 높고 볶음 과정에서 기름이 추가됩니다. 김치의 유산균은 장 건강에 도움이 되나, 오래된 김치는 나트륨 함량이 높을 수 있습니다. 다이어트 중이라면 현미로 대체하고 기름 사용을 최소화하세요. 근비대를 위해서는 계란, 참치, 닭가슴살 등을 추가하여 단백질 함량을 높이는 것이 좋습니다."""
비빔국수,34,6.2,3.4,,,,"""비빔국수,""정제된 밀가루 면의 당지수가 높아 혈당을 급격히 올릴 수 있습니다. 고추장 양념에 첨가당이 포함되어 있어 당분 함량도 높은 편입니다. 다이어트 중이라면 면 양을 줄이고 채소와 단백질(계란, 닭가슴살)을 추가하세요. 근비대에는 단백질 함량이 낮아 효율적이지 않으니, 추가 단백질 공급이 필요합니다. 소화도 빠른 면 특성상 포만감이 오래 지속되지 않아 과식의 우려가 있습니다."""
열무국수,32.2,5.8,2.9,,,,"""열무국수,""정제된 밀가루 면의 당지수가 높고, 열무김치의 양념에 설탕이 포함되어 있을 수 있습니다. 그러나 열무의 식이섬유와 비타민이 풍부하고, 기름이 거의 없어 지방 함량이 낮은 편입니다. 다이어트 중이라면 면 양을 줄이고 열무 비중을 높이세요. 근비대를 위해서는 단백질(계란, 닭가슴살 등)을 추가하는 것이 좋습니다. 열무의 자연 발효 과정에서 생성된 유산균이 장 건강에 도움이 됩니다."""
물냉면,30.2,6.1,1.8,,,,"""물냉면,""정제된 메밀 혹은 밀가루 면의 당지수가 높지만, 동치미 국물은 당분이 낮고 자연 발효 유산균이 풍부합니다. 육수에 포함된 고기의 지방이 일부 있으나 차게 먹어 지방층이 분리되므로 지방 함량이 낮은 편입니다. 다이어트에 비교적 적합하지만, 단백질 함량이 낮아 근비대에는 효율적이지 않습니다. 삶은 계란이나 고기를 추가하여 단백질 함량을 높이세요."""
비빔냉면,32.4,7.4,2.5,,,,"""비빔냉면,""고추장과 설탕이 들어간 양념으로 인해 물냉면보다 당분이 높고, 참기름 등으로 인한 지방도 고려해야 합니다. 다양한 채소가 포함되어 비타민과 미네랄은 풍부합니다. 다이어트 중이라면 양념을 적게 사용하고 면 양을 줄이세요. 근비대를 위해서는 단백질(삶은 계란, 고기)을 충분히 추가하는 것이 좋습니다. 물냉면보다 매운맛으로 인한 대사 촉진 효과가 있습니다."""
쌀국수,34.2,8.4,3.6,,,,"""쌀국수,""흰쌀로 만든 면의 당지수가 높지만, 밀가루 면보다 소화가 용이하고 글루텐이 없습니다. 육수에 포함된 향신료(스타아니스, 계피 등)가 대사를 촉진하고, 다양한 채소가 비타민과 식이섬유를 제공합니다. 다이어트 중이라면 국물 위의 기름을 걷어내고 채소 비중을 높이세요. 근비대를 위해서는 고기(소고기, 닭가슴살)를 충분히 추가하는 것이 좋습니다."""
알리오올리오,31,7.8,9.8,,,,"""알리오올리오,""올리브 오일은 건강한 불포화지방이 풍부하지만, 고칼로리이므로 양 조절이 필요합니다. 마늘은 대사를 촉진하고 항산화 효과가 있으나, 정제된 밀가루 파스타의 당지수는 높습니다. 다이어트 중이라면 통밀 파스타로, 올리브 오일양을 적절히 조절하세요. 근비대를 위해서는 닭가슴살, 새우 등 단백질을 추가하는 것이 좋습니다. 소금 사용량에 주의하세요."""
로제파스타,30.4,8.1,10.2,,,,"""로제파스타,""크림과 토마토 소스의 조합으로 당분과 포화지방이 모두 포함되어 있습니다. 정제된 밀가루 파스타의 당지수가 높고, 크림의 포화지방이 체지방 축적을 촉진할 수 있습니다. 다이어트 중이라면 저지방 우유로 크림을 대체하고 통밀 파스타를 사용하세요. 근비대를 위해서는 닭가슴살, 새우 등 단백질을 충분히 추가하세요. 토마토 소스의 리코펜은 항산화 효과가 있습니다."""
크림파스타,31.2,7.2,11.5,,,,"""크림파스타,""크림 소스에 포함된 버터, 생크림의 포화지방 함량이 매우 높아 체지방 축적을 촉진할 수 있습니다. 정제된 밀가루 파스타의 당지수도 높아 혈당 관리에 불리합니다. 다이어트 중이라면 저지방 우유와 그릭 요거트로 크림을 대체하고, 통밀 파스타를 사용하세요. 근비대를 위해서는 단백질(닭가슴살, 참치 등)을 추가하되, 소화에 부담을 주는 과도한 지방을 주의하세요."""
토마토파스타,29.8,8.4,6.2,,,,"""토마토파스타,""토마토 소스는 당분이 낮고 리코펜 등 항산화물질이 풍부하여 상대적으로 건강한 선택입니다. 그러나 정제된 밀가루 파스타의 당지수는 여전히 높습니다. 다이어트 중이라면 통밀 파스타로 대체하고, 올리브 오일 사용량을 조절하세요. 근비대를 위해서는 단백질(닭가슴살, 새우, 참치 등)을 충분히 추가하세요. 토마토 소스에 설탕 대신 자연 재료로 단맛을 내는 것이 좋습니다."""
리조또,28.1,7.5,7.8,,,,"""리조또,""크림같은 식감을 위해 사용되는 버터와 파마산 치즈의 포화지방 함량이 높고, 흰쌀의 당지수도 높습니다. 다이어트 중이라면 버터 대신 올리브 오일을, 흰쌀 대신 현미나 퀴노아를 사용하세요. 근비대를 위해서는 단백질(닭가슴살, 새우 등)을 충분히 추가하는 것이 좋습니다. 버섯 등 다양한 채소를 추가하면 영양 균형을 맞출 수 있습니다."""
